0,John Thompson,50,735635124,PI,367622028
1,Aaron Ogrady,58,205108848,RS,408092652
2,Lisa Arnold,77,31736295,MA,794863377
3,Lucia Dayton,69,850536423,AL,687591873
4,Bernard Hay,100,333623331,AL,106410519
5,Amelia Walters,124,793859130,AP,930979791
6,Joseph Martin,9,771589818,AL,909158247
7,Ellen Fritz,136,690784515,AM,613739826
8,Kim Mashaw,55,32862717,RS,516498921
9,Damon Mason,91,225988389,DF,247639311
10,David Soucier,130,673047720,PI,838754982
11,Alyssa Fernandez,114,340480305,RO,833298606
12,William Golden,112,610307505,PE,352509309
13,Delores Stephany,41,102343212,AC,237427209
14,Louise Guinan,12,258372117,RR,829023894
15,Mary Muniz,111,239949792,BA,924971571
16,Charles Malloy,107,542679174,AL,261382050
17,Iris Hayes,2,718686558,SE,389109483
18,Michael Booker,2,919206216,PR,948414645
19,Matthew Dockery,94,233075241,CE,826532424
20,Ramona Stender,33,857230506,SP,686496843
21,Elizabeth Johnson,95,177647589,PB,960118146
22,Patricia Martinez,20,566089200,CE,758330334
23,Bryan Naranjo,96,796740282,RS,906237297
24,Christopher Nicewander,133,453096702,RN,826528050
25,Mike Duncan,128,407197737,AC,652802994
26,George Garcia,127,93092976,MA,756759510
27,Michelle Lane,96,833059152,MS,105840621
28,Mary Payne,64,187398837,MT,278525187
29,Stephen Faulkner,129,614090862,TO,136465740
30,Carlos Klinkhammer,57,246433275,PB,572084091
31,John Burns,72,606915018,PB,911243844
32,Barbara Plant,55,416989575,AM,127810512
33,Marilyn Brennan,83,784345365,MG,646213419
34,Donnell Garmon,130,637019910,AP,6188796
35,Claudine Lloyd,61,968865858,RR,38290869
36,Rosemary Barrett,114,147294054,CE,345114909
37,Lillian Hamer,104,754448445,RO,214024266
38,Russel Hatcher,15,400191345,CE,92986353
39,Leslie Mueller,115,967041513,SE,469911105
40,Cynthia Day,9,412911099,RR,393669486
41,Paul Berger,104,190985877,SE,619443981
42,Peter Ceballos,18,619494291,BA,730794357
43,Louise Starr,46,885125142,SP,961990380
44,Clinton Chaffin,8,893190906,PE,456525990
45,Janette Miller,111,329656896,BA,551974176
46,Tony Barksdale,38,703153449,PA,649445913
47,Antwan Schell,131,578350971,PE,190001664
48,Philip Branham,64,872695431,AC,77499729
49,Karen Doyle,89,657338247,DF,357526332
50,Irene Becerra,45,299367054,PB,998879004
51,Sherry Nieman,69,314897688,DF,263204109
52,Justin Hutchins,21,940523715,PA,783487350
53,John Berg,114,135674631,AC,301597119
54,Frank Smith,145,356883786,MG,493588800
55,Angela Burns,39,122603409,RR,409626144
56,Marguerite Fink,71,149328045,MG,459104589
57,Tonia Dedeke,84,186860322,AP,841903983
58,Mark Perez,139,575289675,PI,510278589
59,Debbie Cavanaugh,9,707529906,RO,869837400
60,Herman Olson,66,645483627,GO,114503445
61,Ben Acoff,125,144911070,PE,88602795
62,Rhonda Ramirez,42,995419467,SE,451970460
63,Percy Jones,86,707747175,RN,112140513
64,Tim Padilla,148,313918317,CE,557937927
65,Margaret Roche,78,75298788,RR,730404297
66,Robert Kimball,117,464749740,RR,984756888
67,Heather Rodenberg,100,55990350,MS,118809846
68,Christopher Murphy,80,738204174,BA,136672776
69,Gary Davis,72,2729097,PE,570145374
70,Constance Gonzalez,43,74546244,ES,562505355
71,Ralph Yi,55,106605342,BA,424373517
72,Aimee Boston,69,982941723,PB,245355903
73,Joseph Arciba,66,866059632,MA,30332358
74,Paul Wisniewski,88,425005218,SP,792156042
75,Lucas Avila,82,684479196,DF,10483767
76,Natalie Hammons,133,497042316,AL,655403733
77,Salvador May,87,390034197,DF,881717841
78,Charlie Delgado,64,119418345,AC,579784752
79,Erica Chavis,116,294478776,DF,966555549
80,Jessica James,74,259690815,SE,131028903
81,Ann Johnson,94,899121834,PR,450106029
82,Clarence Meyer,140,968461920,RJ,893145969
83,Barbara Fantasia,75,632377512,ES,517729140
84,Judy Moore,11,842655744,RO,984877227
85,Isabell Krampitz,0,19027908,RR,292024260
86,Paul Webber,31,613094895,PA,390074274
87,Carolyn Gonzalez,18,762937821,PR,139784481
88,Frederick Hubbard,15,762679404,RO,657453177
89,Helen Donald,43,161382798,ES,486045810
90,Lois Powers,23,170288577,GO,620660655
91,Kelly Williams,135,796453281,MS,942719598
92,Della Bubar,118,120425139,BA,620976789
93,Martha White,49,1115163,GO,895540176
94,Dawn White,133,716844960,AC,232200378
95,Josephine Fenster,147,520832304,AM,251608338
96,Marshall Haaf,112,63145278,PA,474032079
97,Allen Gellert,80,61039386,CE,116024832
98,Ronald Bush,3,183622203,RN,675135
99,Donna Colbert,90,664603605,ES,366678243
100,Gregory Kanne,57,963185841,MA,780151761
101,Casey Lingle,50,873333522,SP,812019411
102,Harold Bishop,39,566069121,CE,732223674
103,Christian Meier,61,520992252,RO,158545593
104,Kenneth Linehan,88,368574615,RO,567638235
105,Jeffery Graham,75,907058205,PA,798034860
106,Sylvia Simpson,47,578410794,PR,529745040
107,Valerie Ybarra,131,258270057,TO,84544047
108,Monica Mullins,127,136954377,MT,944491410
109,Hiram Williams,118,835887033,MG,478245429
110,William Cooke,16,560579256,AL,948249540
111,John Sheeran,114,460972008,PR,317385810
112,Helen Banister,118,359492994,PE,862299396
113,Edward Holland,83,584830242,TO,526797306
114,Jane Bowmer,94,465124311,DF,74724822
115,Louise Mckeehan,148,728452350,PR,612349695
116,Joan Stubblefield,23,10409994,CE,41341815
117,Christopher Brown,97,517944591,TO,788388273
118,Jeffrey Turner,97,588008583,ES,256968918
119,Roger Nutt,82,851590863,MT,628245756
120,Luann Sutton,99,605980944,PA,411483015
121,Billie Reasoner,16,597002589,CE,568658835
122,Richard Lee,64,158865894,GO,103126887
123,Charles Tedford,90,825662547,AL,796580235
124,Ronald Taylor,43,848899926,ES,217409625
125,Mark Forget,81,397293768,RN,869340123
126,Vivian Martin,150,129416715,MT,498460905
127,Diane Lazarus,41,290997333,AP,338117553
128,Jessie Ortiz,123,213220872,CE,172372617
129,Preston Eiselein,35,40563594,ES,217568664
130,Jim Nelson,40,180985059,DF,83275641
131,Rita Bachtold,127,92713086,PB,931384296
132,Jeffrey Harris,96,243028899,MT,824448177
